Week Ending,Sales Transactions,Stock for Sale,Properties for Rent,Properties Leased,Source
14 February 2021,843,7816,2896,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-14-february-2021/
7 February 2021,792,7666,2682,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-7-february-2021/
31 January 2021,836,8015,2787,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-31-january-2021/
24 January 2021,856,8310,2864,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-24-january-2021/
17 January 2021,763,8312,2912,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-17-january-2021/
10 January 2021,699,8263,2835,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-10-january-2021/
20 December 2020,969,9167,2723,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-20-december-2020/
13 December 2020,926,9545,3061,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-13-december-2020/
6 December 2020,,9723,2934,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-6-december-2020/
29 November 2020,1042,10108,2875,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-29-november-2020/
22 November 2020,877,10235,2864,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-22-november-2020/
15 November 2020,918,10237,2864,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-15-november-2020/
8 November 2020,910,10221,2814,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-8-november-2020/
1 November 2020,933,10146,2784,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-1-november-2020/
25 October 2020,946,10371,2854,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-25-october-2020/
11 October 2020,902,10422,2975,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-11-october-2020/
4 October 2020,878,10437,2959,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-4-october-2020/
27 September 2020,883,10693,2945,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-27-september-2020/
20 September 2020,826,10686,3028,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-20-september-2020/
13 September 2020,856,10667,3097,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-13-september-2020/
30 August 2020,838,10763,3206,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-30-august-2020/
23 August 2020,834,10807,3314,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-23-august-2020/
16 August 2020,716,10798,3362,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-16-august-2020/
9 August 2020,803,10735,3540,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-9-august-2020/
2 August 2020,855,10751,3555,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-2-august-2020/
26 July 2020,747,10657,3717,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-july-2020/
19 July 2020,799,10490,3869,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-july-2020/
12 July 2020,863,10374,3963,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-july-2020/
5 July 2020,1318,10407,3963,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-5-july-2020/
28 June 2020,989,11004,4008,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-28-june-2020/
14 June 2020,844,11126,4338,1000,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-14-june-2020/
7 June 2020,593,11319,4676,803,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-7-june-2020/
31 May 2020,636,11299,4676,964,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-31-may-2020/
24 May 2020,590,11567,5028,946,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-24-may-2020/
17 May 2020,511,11603,5162,1057,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-17-may-2020/
10 May 2020,527,11611,5420,1005,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-10-may-2020/
3 May 2020,400,11638,5602,774,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-3-may-2020/
26 April 2020,437,11903,5696,861,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-april-2020/
19 April 2020,286,12068,5703,733,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-april-2020/
12 April 2020,264,12273,5641,659,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-april-2020/
5 April 2020,287,12356,5496,827,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-5-april-2020/
29 March 2020,426,12581,5417,1011,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-29-march-2020/
22 March 2020,607,12691,5431,1060,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-22-march-2020/
15 March 2020,657,12691,5481,1080,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-15-march-2020/
1 March 2020,787,12406,5371,1113,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-1-march-2020/
23 February 2020,710,12642,5517,1133,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-23-february-2020/
16 February 2020,683,12688,5653,1172,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-16-february-2020/
9 February 2020,721,12618,5795,1113,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-9-february-2020/
2 February 2020,597,12384,5770,1040,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-2-february-2020/
26 January 2020,638,12636,5905,1345,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-26-january-2020/
19 January 2020,595,12562,6169,,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-19-january-2020/
12 January 2020,542,12433,6225,1091,https://reiwa.com.au/news/perth-market-snapshot-for-the-week-ending-12-january-2020/
